,1586409878.913083,L,0,0
R,0.06296348571777344,R,1586409879.5688949,0.6558117866516113
L,0.12878870964050293,RL,15.124704599380493,15.06174111366272
L,0.022715091705322266,LL,0.34635186195373535,0.21756315231323242
L,0.15118646621704102,LL,0.0,-0.022715091705322266
R,0.010004997253417969,LR,0.7404348850250244,0.5892484188079834
R,0.04038500785827637,RR,0.0,-0.010004997253417969
L,0.07512235641479492,RL,0.0859231948852539,0.04553818702697754
L,0.01676177978515625,LL,0.16955900192260742,0.0944366455078125
R,0.005187511444091797,LR,0.052074432373046875,0.035312652587890625
R,0.009161949157714844,RR,0.11365628242492676,0.10846877098083496
R,0.014460086822509766,RR,0.0,-0.009161949157714844
L,0.1011652946472168,RL,0.048598289489746094,0.03413820266723633
L,0.1041567325592041,LL,0.0,-0.1011652946472168
R,0.006096839904785156,LR,0.23358535766601562,0.12942862510681152
L,0.055718183517456055,RL,0.10177373886108398,0.09567689895629883
R,0.06306314468383789,LR,0.0786130428314209,0.022894859313964844
R,0.08470344543457031,RR,0.0,-0.06306314468383789
R,0.006070375442504883,RR,0.139631986618042,0.05492854118347168
R,0.15538716316223145,RR,0.0,-0.006070375442504883
R,0.009984970092773438,RR,0.16531109809875488,0.009923934936523438
R,0.001932382583618164,RR,0.1389310359954834,0.12894606590270996
R,0.12589216232299805,RR,0.0,-0.001932382583618164
L,0.01994466781616211,RL,0.14694523811340332,0.021053075790405273
R,0.04316139221191406,LR,0.02668619155883789,0.006741523742675781
R,0.0037157535552978516,RR,0.08190751075744629,0.03874611854553223
R,0.07694745063781738,RR,0.0,-0.0037157535552978516
R,0.0013494491577148438,RR,0.123870849609375,0.04692339897155762
L,0.001991748809814453,RL,0.1454148292541504,0.14406538009643555
L,0.053859710693359375,LL,0.0,-0.001991748809814453
L,0.1372382640838623,LL,0.0,-0.053859710693359375
R,0.0021805763244628906,LR,0.1749744415283203,0.03773617744445801
L,0.026362895965576172,RL,0.020674705505371094,0.018494129180908203
R,0.07581734657287598,LR,0.029377460479736328,0.0030145645141601562
R,0.0528714656829834,RR,0.09500575065612793,0.019188404083251953
R,0.019072294235229492,RR,0.15076756477355957,0.09789609909057617
L,0.03133225440979004,RL,0.1077725887298584,0.0887002944946289
R,0.006415843963623047,LR,0.03457069396972656,0.0032384395599365234
R,0.08368563652038574,RR,0.0,-0.006415843963623047
L,0.06768155097961426,RL,0.1269073486328125,0.04322171211242676
L,0.09770464897155762,LL,0.0,-0.06768155097961426
R,0.10745024681091309,LR,0.19486451148986816,0.09715986251831055
R,0.059276580810546875,RR,0.13412714004516602,0.02667689323425293
L,0.025200843811035156,RL,0.14450526237487793,0.08522868156433105
R,0.009505033493041992,LR,0.0288541316986084,0.003653287887573242
L,0.0325314998626709,LL,1586409899.0075822,1586409899.0075822
L,0.03249669075012207,RL,0.13305020332336426,0.12354516983032227
R,0.050545692443847656,LR,0.04892611503601074,0.016429424285888672
R,0.05154561996459961,LR,0.04966402053833008,0.01713252067565918
R,0.05750226974487305,RR,0.0,-0.050545692443847656
R,0.05750226974487305,RR,0.0,-0.05154561996459961
L,0.04713773727416992,RL,0.0743255615234375,0.016823291778564453
L,0.04713773727416992,RL,0.0743255615234375,0.016823291778564453
R,0.013952970504760742,LR,0.053125858306884766,0.005988121032714844
R,0.014942169189453125,LR,0.053125858306884766,0.005988121032714844
R,0.04758000373840332,RR,0.06110215187072754,0.046159982681274414
R,0.04758000373840332,RR,0.06110215187072754,0.0471491813659668
L,0.025670766830444336,RL,0.06180071830749512,0.014220714569091797
L,0.0262148380279541,RL,0.06125664710998535,0.013676643371582031
L,0.004778861999511719,LL,0.043915510177612305,0.017700672149658203
L,0.005776882171630859,LL,0.04337143898010254,0.017700672149658203
L,0.03273439407348633,LL,0.07032155990600586,0.06554269790649414
L,0.03255033493041992,LL,0.07050561904907227,0.0647287368774414
L,0.07403397560119629,LL,0.0,-0.03255033493041992
L,0.0742180347442627,LL,0.0,-0.03273439407348633
L,0.09714984893798828,LL,0.0,-0.0742180347442627
L,0.09696578979492188,LL,0.0,-0.07403397560119629
R,0.05433058738708496,LR,0.1299142837524414,0.032764434814453125
R,0.055328369140625,LR,0.129730224609375,0.032764434814453125
R,0.11127924919128418,RR,0.0,-0.05433058738708496
R,0.11127924919128418,RR,0.0,-0.055328369140625
R,0.1357734203338623,RR,0.0,-0.11127924919128418
R,0.1357734203338623,RR,0.0,-0.11127924919128418
L,0.09981131553649902,RL,0.34865331649780273,0.21287989616394043
L,0.10181736946105957,RL,0.34762001037597656,0.21184659004211426
L,0.03271174430847168,LL,0.10732150077819824,0.007510185241699219
L,0.032266855239868164,LL,0.10879969596862793,0.006982326507568359
L,0.04922151565551758,LL,0.0,-0.032266855239868164
L,0.049666404724121094,LL,0.0,-0.03271174430847168
L,0.09363055229187012,LL,0.0,-0.04922151565551758
L,0.09407544136047363,LL,0.0,-0.049666404724121094
L,0.03289318084716797,LL,40.57466197013855,40.48103141784668
L,0.03493094444274902,LL,40.57510685920715,40.48103141784668
L,0.04185795783996582,LL,0.27248334884643555,0.23959016799926758
L,0.03908514976501465,LL,0.28955793380737305,0.254626989364624
L,0.09253597259521484,LL,1586410352.5676107,1586410352.5676107
L,0.0942237377166748,LL,411.6947672367096,411.6556820869446

L,0.10971522331237793,LL,1586410352.5676107,1586410352.5676107
L,0.10971522331237793,LL,1586410352.5676107,1586410352.5676107
L,0.10925149917602539,LL,1586410352.5680745,1586410352.5680745
L,0.09621977806091309,LL,1586410352.5666146,1586410352.5666146
L,0.09522366523742676,LL,1586410352.5676107,1586410352.5676107
R,0.06794381141662598,LR,0.22838497161865234,0.11866974830627441
R,0.07259464263916016,LR,0.22439312934875488,0.1281733512878418
R,0.08383536338806152,LR,0.21202969551086426,0.10277819633483887
R,0.06760644912719727,LR,0.22439312934875488,0.13016939163208008
R,0.06760644912719727,LR,0.22339701652526855,0.1281733512878418
R,0.08383536338806152,LR,0.2124934196472168,0.10277819633483887
R,0.09255099296569824,LR,0.21349120140075684,0.12095522880554199
R,0.09504222869873047,RR,0.21213388442993164,0.1195828914642334
R,0.09594440460205078,RR,0.21412920951843262,0.1302938461303711

R,0.09694194793701172,RR,0.20222806930541992,0.12963342666625977
R,0.09592986106872559,RR,0.2013404369354248,0.13373398780822754
R,0.09782958030700684,RR,0.20032787322998047,0.13373398780822754
R,0.09694194793701172,RR,0.20222806930541992,0.13462162017822266
L,0.05308651924133301,RL,0.10492324829101562,0.007981300354003906
L,0.05167341232299805,RL,0.11032462120056152,0.013382673263549805
L,0.04668569564819336,RL,0.10932707786560059,0.013382673263549805
L,0.04668569564819336,RL,0.11032462120056152,0.013382673263549805
L,0.0467679500579834,RL,0.11124181747436523,0.014299869537353516
L,0.060065269470214844,RL,0.10282039642333984,0.006890535354614258
L,0.05167341232299805,RL,0.11121225357055664,0.013382673263549805
R,0.06192660331726074,LR,1.1795542240142822,1.1264677047729492
R,0.061887502670288086,LR,1.1731960773468018,1.1265103816986084
R,0.06710672378540039,LR,1.1795542240142822,1.1264677047729492
R,0.06624698638916016,LR,1.1741528511047363,1.127467155456543

R,0.06587386131286621,LR,1.1815879344940186,1.1215226650238037
R,0.06790852546691895,LR,1.1721608638763428,1.1204874515533447
L,0.03121018409729004,RL,0.7871291637420654,0.720022439956665
L,0.02306842803955078,RL,0.8143553733825684,0.7484815120697021
L,0.07356429100036621,RL,0.7870218753814697,0.7251343727111816
L,0.05178523063659668,RL,0.7860651016235352,0.719818115234375
L,0.04623079299926758,RL,0.8133985996246338,0.7471516132354736
L,0.0517880916595459,RL,0.787060022354126,0.719151496887207
L,0.04972696304321289,RL,0.7871291637420654,0.7252025604248047
R,0.11669731140136719,LR,0.16973042488098145,0.14666199684143066
R,0.11617040634155273,LR,0.17173027992248535,0.12549948692321777
R,0.11816692352294922,LR,0.1979997158050537,0.14827275276184082
R,0.11816692352294922,LR,0.1979997158050537,0.16678953170776367
R,0.11617040634155273,LR,0.19906377792358398,0.12549948692321777
R,0.11564874649047852,LR,0.19906377792358398,0.1472785472869873
R,0.11564874649047852,LR,0.20006084442138672,0.14827275276184082
L,0.029099464416503906,RL,0.2711668014526367,0.1529998779296875
L,0.0321955680847168,RL,0.27116894721984863,0.15447163581848145
L,0.03354287147521973,RL,0.2691690921783447,0.1535203456878662
L,0.038686513900756836,RL,0.2701699733734131,0.15399956703186035
L,0.038283586502075195,RL,0.2701699733734131,0.15399956703186035
L,0.04119133949279785,RL,0.2711668014526367,0.15499639511108398
L,0.0750436782836914,LL,0.09429550170898438,0.06519603729248047
L,0.08109116554260254,LL,0.09529304504394531,0.05410170555114746
L,0.08208870887756348,LL,0.09629321098327637,0.06409764289855957
L,0.08208870887756348,LL,0.09629321098327637,0.06275033950805664
L,0.08208942413330078,LL,0.09529304504394531,0.05410170555114746
L,0.08208870887756348,LL,0.09529232978820801,0.05799460411071777
R,0.10950875282287598,LR,0.1371750831604004,0.055086374282836914
R,0.09826326370239258,LR,0.14941978454589844,0.07437610626220703
R,0.10025906562805176,LR,0.14642643928527832,0.06433701515197754
R,0.10225200653076172,LR,0.14642643928527832,0.06533527374267578
R,0.10411453247070312,LR,0.14556145668029785,0.06347274780273438
R,0.10738921165466309,RR,1.397019624710083,1.2967605590820312
R,0.10665035247802734,RR,1.3957626819610596,1.297499418258667
R,0.07650184631347656,RR,1.4279232025146484,1.3246736526489258
R,0.07848215103149414,RR,1.4269256591796875,1.3276658058166504
R,0.10588526725769043,RR,1.4072685241699219,1.297759771347046
R,0.07848215103149414,RR,1.4269256591796875,1.3276658058166504
R,0.19305634498596191,RR,0.0,-0.10588526725769043
R,0.19505071640014648,RR,0.0,-0.10738921165466309
R,0.165144681930542,RR,0.0,-0.07848215103149414
R,0.16421246528625488,RR,0.0,-0.07848215103149414
R,0.165144681930542,RR,0.0,-0.07848215103149414
R,0.20835590362548828,RR,0.0,-0.10665035247802734
R,0.16421246528625488,RR,0.0,-0.07848215103149414
R,0.16421246528625488,RR,0.0,-0.07650184631347656
R,0.08868026733398438,RR,2.887788772583008,2.6794328689575195
R,0.08768224716186523,RR,2.88753080368042,2.694474458694458
R,0.08967828750610352,RR,2.858621597290039,2.694409132003784
R,0.0866854190826416,RR,2.858621597290039,2.694409132003784
R,0.08868122100830078,RR,2.859618663787842,2.6944739818573

R,0.09067463874816895,RR,2.858621597290039,2.693476915359497
R,0.09067463874816895,RR,2.858621597290039,2.694409132003784
R,0.04180717468261719,RR,0.3466784954071045,0.25600385665893555
R,0.049944162368774414,RR,0.3395378589630127,0.2508575916290283
R,0.040822744369506836,RR,0.3466784954071045,0.25600385665893555
R,0.04995870590209961,RR,0.3375425338745117,0.2508571147918701
R,0.04280352592468262,RR,0.3466784954071045,0.25600385665893555
R,0.04995870590209961,RR,0.3375425338745117,0.2478642463684082
R,0.04280352592468262,RR,0.34568142890930176,0.257000207901001
,0.02760171890258789,L,1586410766.5049975,1586410766.5049975
R,0.03357553482055664,RR,406.09106945991516,406.05024671554565
R,0.03274059295654297,RR,406.10118865966797,406.0512444972992
R,0.03470301628112793,RR,406.0990779399872,406.0491192340851
,0.03182387351989746,L,1586410766.5039988,1586410766.5039988
,0.03274059295654297,L,1586410766.5020022,1586410766.5020022
R,0.03274059295654297,RR,406.0940480232239,406.0512444972992
R,0.03427696228027344,RR,406.0913667678833,406.0495595932007
R,0.031595706939697266,RR,406.0940480232239,406.0512444972992
,0.0335848331451416,L,1586410766.503003,1586410766.503003
,0.033586740493774414,L,1586410766.5039988,1586410766.5039988
R,0.03968930244445801,RR,406.0998270511627,406.0499062538147
R,0.2855641841888428,RR,0.0,-0.03427696228027344
R,0.28185391426086426,RR,0.0,-0.03274059295654297
R,0.2879526615142822,RR,0.0,-0.03470301628112793
,0.28284716606140137,,0.0,-0.03182387351989746
,0.28284597396850586,,0.0,-0.0335848331451416
,0.2838466167449951,,0.0,-0.03274059295654297

R,0.28595995903015137,RR,0.0,-0.03968930244445801
R,0.28595995903015137,RR,0.0,-0.03470301628112793
R,0.2838466167449951,RR,0.0,-0.031595706939697266
,0.28484106063842773,,0.0,-0.03173995018005371
,0.28484201431274414,,0.0,-0.033586740493774414
,0.5596506595611572,,0.0,-0.2838466167449951
,0.5586521625518799,,0.0,-0.28484201431274414
R,0.5647547245025635,RR,0.0,-0.2879526615142822
R,0.564624547958374,RR,0.0,-0.2848324775695801

R,0.566749095916748,RR,0.0,-0.28595995903015137
,0.5616424083709717,,0.0,-0.28284597396850586
R,0.5677468776702881,RR,0.0,-0.28595995903015137
,0.560645580291748,,0.0,-0.2818484306335449
,0.5616443157196045,,0.0,-0.28284716606140137
R,0.5626430511474609,RR,0.0,-0.2838466167449951
,0.5616424083709717,,0.0,-0.28484106063842773
R,0.5643272399902344,RR,0.0,-0.2855641841888428
R,0.175933837890625,R,210.92282032966614,210.3621747493744
R,0.18590712547302246,R,210.923819065094,210.3621747493744
R,0.18590712547302246,R,210.923819065094,210.36516690254211
R,0.1857929229736328,RR,210.92116117477417,210.35441207885742

R,0.1863393783569336,R,210.9238157272339,210.36217331886292
R,0.18365693092346191,RR,210.92329716682434,210.35555028915405
R,0.18733000755310059,R,210.9238257408142,210.36417508125305

R,0.18983101844787598,RR,210.92132472991943,210.35868167877197
R,0.1863393783569336,R,210.9238157272339,210.36217331886292
R,0.18337750434875488,RR,210.92350816726685,210.3591809272766
R,0.18364191055297852,RR,210.92056250572205,210.3589165210724
L,0.24203824996948242,RL,0.3839387893676758,0.19803166389465332
L,0.24104094505310059,RL,0.3849360942840576,0.20900225639343262
L,0.2420973777770996,RL,0.3897261619567871,0.2039332389831543
L,0.28409242630004883,RL,0.3895721435546875,0.20591521263122559
L,0.28670501708984375,RL,0.38394689559936523,0.19760751724243164
L,0.28509998321533203,RL,0.3859286308288574,0.19859862327575684
L,0.28509998321533203,RL,0.3884296417236328,0.19859862327575684
L,0.2855052947998047,RL,0.3879363536834717,0.2045588493347168
L,0.2855052947998047,RL,0.3889334201812744,0.20591521263122559
L,0.2855052947998047,RL,0.3882007598876953,0.2045588493347168
L,0.28508949279785156,RL,0.3895721435546875,0.20591521263122559
R,0.006612062454223633,LR,0.34571242332458496,0.06061244010925293
R,0.006612062454223633,LR,0.34670352935791016,0.06119823455810547
R,0.011039972305297852,LR,0.343280553817749,0.1012423038482666
R,0.011041402816772461,LR,0.3432791233062744,0.10223817825317383
R,0.006612062454223633,LR,0.34670352935791016,0.06119823455810547
R,0.010602474212646484,LR,0.34868550300598145,0.10658812522888184
R,0.01359415054321289,LR,0.34670352935791016,0.06261110305786133
R,0.01359415054321289,LR,0.34670352935791016,0.061614036560058594
R,0.02001667022705078,LR,0.3412797451019287,0.05577445030212402
R,0.020218372344970703,LR,0.34128475189208984,0.05618476867675781
R,0.015216827392578125,LR,0.34728574752807617,0.06218576431274414
R,0.015216827392578125,LR,0.34628844261169434,0.06218576431274414
R,0.016251325607299805,LR,0.34827685356140137,0.06157183647155762
R,0.016251325607299805,LR,0.34628844261169434,0.061192989349365234
L,0.0711822509765625,RL,467.36352348327637,467.35691142082214
L,0.07079172134399414,RL,467.36933755874634,467.35829758644104
L,0.07201313972473145,RL,467.3626925945282,467.349098443985
L,0.07095670700073242,RL,467.36417627334595,467.34792494773865
L,0.07118940353393555,RL,467.36394357681274,467.34872674942017
L,0.0703425407409668,RL,467.36879086494446,467.3577494621277
L,0.07095670700073242,RL,467.36417627334595,467.34792494773865
L,0.07559037208557129,RL,467.3635721206665,467.3483552932739
L,0.07018470764160156,RL,467.36894726753235,467.3489305973053

L,0.07018470764160156,RL,467.36352348327637,467.35691142082214
L,0.07101559638977051,RL,467.3626925945282,467.349098443985
L,0.07492184638977051,RL,467.3691990375519,467.3489806652069
R,0.10626482963562012,LR,0.1668250560760498,0.0958094596862793
R,0.10726308822631836,LR,0.16782236099243164,0.0958092212677002
R,0.10726308822631836,LR,0.1669914722442627,0.09680676460266113
R,0.10505199432373047,LR,0.17019963264465332,0.09901738166809082
R,0.10642623901367188,LR,0.16797351837158203,0.09701681137084961
R,0.10642623901367188,LR,0.16797351837158203,0.09701681137084961
R,0.10682487487792969,LR,0.16658973693847656,0.09624719619750977
R,0.10682487487792969,LR,0.1670389175415039,0.09624719619750977
R,0.10582780838012695,LR,0.1684277057647705,0.09723830223083496
R,0.10605359077453613,LR,0.16820096969604492,0.09801626205444336
R,0.10782217979431152,LR,0.16879916191101074,0.09320878982543945
R,0.10626626014709473,LR,0.16881918907165527,0.09780359268188477
R,0.11004233360290527,LR,0.16820096969604492,0.09801626205444336
L,0.11791467666625977,RL,0.11983895301818848,0.013014078140258789
L,0.12193870544433594,RL,0.11681199073791504,0.009987115859985352
L,0.12688708305358887,RL,0.11429643630981445,0.008030176162719727
L,0.12688708305358887,RL,0.11529326438903809,0.008030176162719727
L,0.12661409378051758,RL,0.11656498908996582,0.009301900863647461
L,0.12661409378051758,RL,0.1153554916381836,0.009301900863647461
L,0.12081217765808105,RL,0.12115740776062012,0.011115074157714844
L,0.12180805206298828,RL,0.11893725395202637,0.011115074157714844
L,0.12081217765808105,RL,0.11915874481201172,0.01410675048828125
L,0.12180805206298828,RL,0.11893725395202637,0.013109445571899414
L,0.12090635299682617,RL,0.12006044387817383,0.013634204864501953
L,0.07982635498046875,LL,0.2612292766571045,0.13329219818115234
L,0.07882833480834961,LL,0.26117730140686035,0.13429021835327148
L,0.07647252082824707,LL,0.26425600051879883,0.13764190673828125
L,0.07593631744384766,LL,0.2589902877807617,0.13817811012268066
L,0.0774698257446289,LL,0.26057934761047363,0.1386406421661377
L,0.07593631744384766,LL,0.2589902877807617,0.13817811012268066
L,0.07593631744384766,LL,0.2589902877807617,0.13718223571777344
L,0.07793211936950684,LL,0.2580885887145996,0.13718223571777344
L,0.07793211936950684,LL,0.2589902877807617,0.13718223571777344
L,0.07793211936950684,LL,0.2580885887145996,0.13718223571777344
L,0.07693362236022949,LL,0.2589902877807617,0.13718223571777344
R,0.0836939811706543,LR,0.24874401092529297,0.16891765594482422
R,0.08134627342224121,LR,0.24585199356079102,0.16791987419128418
R,0.08418917655944824,LR,0.24989056587219238,0.17106223106384277
R,0.08334112167358398,LR,0.24585199356079102,0.16991567611694336
R,0.08418917655944824,LR,0.24500393867492676,0.16707181930541992
R,0.08451962471008301,LR,0.24738478660583496,0.16991496086120605
R,0.08633255958557129,LR,0.24585199356079102,0.16991567611694336
R,0.08718061447143555,LR,0.24886822700500488,0.17006468772888184
R,0.08533596992492676,LR,0.24684858322143555,0.1689164638519287
R,0.08418917655944824,LR,0.24500393867492676,0.16807031631469727
R,0.0833430290222168,LR,0.249739408493042,0.17091107368469238
R,0.0863642692565918,LR,0.24554014205932617,0.1690676212310791
R,0.1345381736755371,RR,119.92833256721497,119.84115195274353
R,0.133683443069458,RR,119.93033480644226,119.8466408252716
R,0.13381457328796387,RR,119.92905616760254,119.84269189834595
R,0.13338303565979004,RR,119.9304850101471,119.84629583358765

R,0.13472437858581543,RR,119.93029356002808,119.8439610004425
R,0.13381457328796387,RR,119.92905616760254,119.8418755531311
R,0.1345381736755371,RR,119.92848372459412,119.8451406955719
R,0.1364903450012207,RR,119.9304850101471,119.84629583358765
R,0.135833740234375,RR,119.92929697036743,119.8439610004425
R,0.135833740234375,RR,119.93029356002808,119.84894728660583
R,0.13791918754577637,RR,119.92820811271667,119.84486699104309
R,0.1386427879333496,RR,119.92833256721497,119.84414339065552
R,0.005983591079711914,RR,0.25040221214294434,0.11671876907348633
R,0.005883693695068359,RR,0.251631498336792,0.11781692504882812
R,0.0069315433502197266,RR,0.25130724906921387,0.11676907539367676
R,0.0069315433502197266,RR,0.25130724906921387,0.11676907539367676
R,0.010211467742919922,RR,0.2510192394256592,0.11237645149230957
R,0.00772547721862793,RR,0.2516930103302002,0.11696863174438477
R,0.00772547721862793,RR,0.25078511238098145,0.11696863174438477
R,0.009561538696289062,RR,0.25194239616394043,0.11402320861816406
R,0.00897526741027832,RR,0.2504432201385498,0.1146094799041748
R,0.010920286178588867,RR,0.2505836486816406,0.11676907539367676
R,0.007978439331054688,RR,0.2510998249053955,0.1146094799041748

R,0.00897526741027832,RR,0.2504432201385498,0.1146094799041748
R,0.009561538696289062,RR,0.25081467628479004,0.11713051795959473
R,0.11327409744262695,RR,0.0,-0.005983591079711914
R,0.11431312561035156,RR,0.0,-0.010211467742919922
R,0.11297726631164551,RR,0.0,-0.005883693695068359
R,0.11402511596679688,RR,0.0,-0.010920286178588867
R,0.11307740211486816,RR,0.0,-0.007978439331054688
,0.11307740211486816,RR,0.0,-0.007978439331054688
R,0.11282491683959961,RR,0.0,-0.00772547721862793
R,0.1136636734008789,RR,0.0,-0.009561538696289062
R,0.1136636734008789,RR,0.0,-0.009561538696289062
R,0.11402511596679688,RR,0.0,-0.0069315433502197266
R,0.11402511596679688,RR,0.0,-0.0069315433502197266
R,0.11382269859313965,RR,0.0,-0.00772547721862793
R,0.10527777671813965,RR,0.22672605514526367,0.11345195770263672
R,0.10527777671813965,RR,0.2259666919708252,0.11165356636047363
R,0.10494017601013184,RR,0.22601628303527832,0.11199116706848145
R,0.1061699390411377,RR,0.22601628303527832,0.11199116706848145

R,0.10490703582763672,RR,0.22623133659362793,0.11325407028198242
R,0.10567092895507812,RR,0.2259204387664795,0.11225676536560059
R,0.10488653182983398,RR,0.22770261764526367,0.11403894424438477
R,0.10389065742492676,RR,0.2278602123260498,0.11403751373291016
R,0.10189557075500488,RR,0.23010730743408203,0.11702990531921387
R,0.10313105583190918,RR,0.23010730743408203,0.11503481864929199
R,0.10313105583190918,RR,0.23010730743408203,0.11702990531921387
R,0.06332182884216309,RR,0.23059439659118652,0.12531661987304688
R,0.06376409530639648,RR,0.2302567958831787,0.12531661987304688
R,0.06476140022277832,RR,0.22925949096679688,0.12431931495666504
R,0.06476211547851562,RR,0.2302567958831787,0.12408685684204102
R,0.06476211547851562,RR,0.22899389266967773,0.12332296371459961
R,0.06476211547851562,RR,0.22899389266967773,0.12408685684204102
